Unnamed: 0,EJEMPLAR,Título,Autor,Editorial,Colección,Año,CATEGORÍA,EDAD (literatura),CDU
5183,1,¡Judy Moody se vuelve famosa!,"Mc Donald, Megan",Alfaguara,Judy Moody,2012,Lit. Infantil (Naranja),,
2245,1,"¡Ladra, Spike, Ladra!","David, Luke",Grupo zeta,Quiero leer,1926,,,
2284,1,"¡Mami, quiero pis...!",-,[Ser padres hoy],¡Ya soy grande!,1926,,,
5356,1,¡Mimosaurio!,"Pez, Alberto",Norma,Buenas Noches,2007,Lit. Infantil (Rojo),,
3459,1,¡Niet! : (novela),"Meney, Patrick",Atlántida,Colección libro elegido,1926,,,
1613,1,¡No soy una mariposa!,"Sevilla, Fabián",Salim,Amaranta,1926,,,
2803,1,¡Pequeñitos!,"Frattini, Stéphane",Océano,Travesía,1926,,,
297,6,¡Por todos los Dioses...!,"García Domínguez, Ramón",Norma,Torre de papel - Amarillo,2004,,,
2243,1,¡Puedo hacerlo solo!,-,[Atlántida],Baby Libros,1926,,,
76,2,¡Que sea la Odisea!,"Basch, Adela",Alfaguara,Morada,2003,,,
2855,1,¡Queremos sobrevivir! : animales en peligro,"Gentile, Georgina & Thiel, Inge",Lumen,Un despertar a la ciencia,1926,,,
1200,4,¡Silencio niños! y otros cuentos,"Wolf, Ema",Norma,Torre de papel - Azul,1926,,,
3160,1,¡Socorro! 12 cuentos para caerse de miedo,"Bornemann, Elsa",Alfaguara,Infantil - naranja,1926,,,
425,2,¡Solo a mí me pasa!,"Keselman, Gabriela",Edelvives,Ala Delta,2008,,,
2274,1,¡Toro marino al acecho!,-,[Anteojito],Revista anteojito,1926,,,
2126,2,¿A dónde está la corona?,"Schujer, Silvia",La Valijita,La valijita encantada - 13,1926,,,
3474,1,¿Arde París?,"Lapierre, Dominique & Collins, Larry",Plaza & Janés,El arca de papel,1926,,,
2115,1,¿Cómo es el cocodrilo?,"Novoa, Teresa",Alfaguara Infantil,Descubrimos,1926,,,
1774,1,¿Cuántos pelos tiene un gato? : coplas tradicionales,"Saltzmann, Julia (comp.)",Coquena,Libros del quirquincho,1926,,,
2188,1,¿Dónde está Petronilo?,"Shua, Ana María",Sigmar,Barrilete,1926,,,
2846,1,¿Nos preocupa el cambio climático? : debemos conocer el problema para encontrar soluciones,"Gentile, Georgina & Thiel, Inge",Fundación Roulet,-,1926,,,
3288,1,¿Por qué el mar es salado?,Antología,Orión,,1926,,,
2798,1,¿Por qué es oscura la noche?,"Tahta, Sophy",Lumen,Primeros pasos en la ciencia,1926,,,
2864,1,¿QS cómo hacemos para Oír y Ver?,"García, Mariano & Gotlibowski, Leicia",Eudeba,¿Querés saber?,1926,,,
2865,1,¿QS cómo hacemos para Oler y Degustar?,"García, Mariano & Gotlibowski, Leicia",Eudeba,¿Querés saber?,1926,,,
2862,2,¿QS qué es la ecología?,"Kogan, Mariela & Cruz, Paula de la",Eudeba,¿Querés saber?,1926,,,
2863,1,¿QS qué es la Huella ecológica?,"Kogan, Mariela & Cruz, Paula de la",Eudeba,¿Querés saber?,1926,,,
1764,1,¿Qué es el tiempo?,"Damm, Antje",imaiqué,-,1926,,,
2799,1,¿Qué hay debajo de la tierra?,"Mayes, Susan",Lumen,Primeros pasos en la ciencia,1926,,,
2856,1,¿Qué hay en el espacio?,"Mayes, Susan",Lumen,Primeros pasos en la ciencia,1926,,,
2263,2,¿Qué hora es?,-,Grafalco,-,1926,,,
2849,1,¿Qué le pasa al planeta?,"Meredith, Susan",Usborne,-,1926,,,
1193,1,¿Qué puedo esperar? : el libro de las preguntas,"Teckentrup, Britta",Libros del zorro rojo,-,1926,,,
2698,1,¿Qué son los humedales? : ambiantes acuáticos indispensables para la vida,"Wais de Badgen, Irene",[Fundación conciencia],Con ciencia,1926,,,
2861,1,¿Querés saber como era el Arte en la Prehistoria?,"Fiore, Dánae & Glüzmann, Mariela",Eudeba,¿Querés saber?,1926,,,
2867,1,¿Querés saber qué es el ADN?,"Bombara, Paula & Bernasconi, Pablo",Eudeba,¿Querés saber?,1926,,,
2870,1,¿Querés saber qué es el Big Bang?,"Gangui, Alejandro & Bilotti, Viviana",Eudeba,¿Querés saber?,1926,,,
2869,1,¿Querés saber qué es el universo?,"Gangui, Alejandro & Bilotti, Viviana",Eudeba,¿Querés saber?,1926,,,
2860,1,¿Querés saber qué es la Arqueología?,"Fiore, Dánae & Glüzmann, Mariela",Eudeba,¿Querés saber?,1926,,,
2866,1,¿Querés saber qué son las Bacterias y los Virus?,"Fernández, Natalia & Fernández Rolfi, Bana",Eudeba,¿Querés saber?,1926,,,
4828,1,¿Quién es?,,Ediciones B,Adivina,1926,,,
1627,1,¿Quién mató a la madrastra? : (un caso para Fábulo D. Tective),"Sevilla, Fabián",Salim,Amaranta,1926,,,
12,1,¿Quién pidió un vaso de agua?,"Accame, Jorge",Sudamericana,Pan Flauta - Serie Azul,1995,,,
1718,1,¿Quién se come a quién?,"Mizielinska, Aleksandra & Mizielinski, Daniel",Libros del zorro rojo,-,1926,,,
5382,1,101 cuentos de animales,Antología,El Gato de hojalata,,2016,Lit. Infantil (rojo),,
1002,1,16 cuentos,,Caja de Ahorro Postal,-,1926,,,
1043,2,16 cuentos argentinos,"Domínguez, Mignon (comp.)",Huemul,Clásicos Huemul,1926,,,
5456,1,1820-1829 Los caudillos y el proyecto de Rivadavia,"Ed. Alemán, José",Clarín,Argentina 200 años. V.2,2010,Historia Argentina,,
5457,1,"1830-1839 Unitarios, federales y románticos","Ed. Alemán, José",Clarín,Argentina 200 años. V.3,2010,Historia Argentina,,
5458,1,1840-1849 El apogeo del régimen rosista,"Ed. Alemán, José",Clarín,Argentina 200 años. V.4,2010,Historia Argentina,,
5459,1,1850-1859 Buenos Aires enfrenta a la conferación,"Ed. Alemán, José",Clarín,Argentina 200 años. V.5,2010,Historia Argentina,,
5460,1,1870-1879 Organización nacional y dominio del territorio,"Ed. Alemán, José",Clarín,Argentina 200 años. V.7,2010,Historia Argentina,,
5461,1,1880-1889 El roquismo: orden y progreso,"Ed. Alemán, José",Clarín,Argentina 200 años. V.8,2010,Historia Argentina,,
5462,1,1890-1899 Crisis económica e impugnación política radical,"Ed. Alemán, José",Clarín,Argentina 200 años. V.9,2010,Historia Argentina,,
5463,1,1900-1909 Entre el optimismo y la inquietud,"Ed. Alemán, José",Clarín,Argentina 200 años. V.10,2010,Historia Argentina,,
5464,1,1910-1919 Triunfo radical y conflictos de la democracia,"Ed. Alemán, José",Clarín,Argentina 200 años. V.11,2010,Historia Argentina,,
5465,1,1920-1929 Los años dorados de la democracia,"Ed. Alemán, José",Clarín,Argentina 200 años. V.12,2010,Historia Argentina,,
5466,1,1930-1939 Entre la crisis y la guerra mundial,"Ed. Alemán, José",Clarín,Argentina 200 años. V.13,2010,Historia Argentina,,
5467,1,1940-1949 Surge un nuevo movimiento popular: el peronismo,"Ed. Alemán, José",Clarín,Argentina 200 años. V.14,2010,Historia Argentina,,
5468,1,1950-1959 Peronismo y antiperonismo,"Ed. Alemán, José",Clarín,Argentina 200 años. V.15,2010,Historia Argentina,,
5473,1,1960-1969 Los militares en el poder,"Ed. Alemán, José",Clarín,Argentina 200 años. V.16,2010,Historia Argentina,,
5469,1,1970-1979 Entre la ilusión y el espanto,"Ed. Alemán, José",Clarín,Argentina 200 años. V.17,2010,Historia Argentina,,
5470,1,1980-1989 Alfonsín y la vuelta de la democracia,"Ed. Alemán, José",Clarín,Argentina 200 años. V.18,2010,Historia Argentina,,
5471,1,1990-1999 Menen y la reforma neoliberal,"Ed. Alemán, José",Clarín,Argentina 200 años. V.19,2010,Historia Argentina,,
2121,1,2 cuentos clásicos. Pinocho. Los tres cerditos,,Susaeta,,1926,,,
1916,1,20 Grandes conspiraciones de la historia,"Camacho, Santiago",El Ateneo,,1926,,,
4570,1,"20,000 Leguas de viaje submarino","Verne, Julio",Genios,Colección grandes clásicos,1926,,,
665,3,"20,000 leguas de viaje submarino","Verne, Julio",Letra impresa,La puerta secreta,1926,,,
1869,3,200 años de poesía argentina,"Serrano, María de los Ángeles (comp.)",Colihue,Los libros de Boris,1926,,,
2617,1,20000 leguas de viaje submarino,"Verne, Julio",Clarín,Grandes clásicos ilustrados para chicos - 1,1926,,,
5472,1,2000-2009 Kirchner: expectativas y frustraciones,"Ed. Alemán, José",Clarín,Argentina 200 años. V.20,2010,Historia Argentina,,
3112,1,25 de Mayo : cuando nacía la Patria,-,Billiken,Biblioteca Billiken para la familia - 11,1926,,,
4568,1,250 Chistes + trabalenguas y adivinanzas,-,EDG,,1926,,,
